sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodinium_seqs	post_taxa_id_unique_symbiodinium_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodinium_seqs	post_taxa_id_unique_non_symbiodinium_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	C1d	C1bl	C42.2	C21	C1	C3	71003_C	C3cg	C1b	C1k	C3at	C1bi	114_C	C3db	C3b	C3av	C115k	110_C	C21af	C3dp	37676_C	21208_C	C3eg	C21e	41218_C	41217_C	C3ab	38920_C	24569_C	322_C	41216_C	41215_C	41226_C	71030_C	118_C	C1au	41221_C	C45c	71028_C	71029_C	43252_C	12_C	C1c	436490_C	23413_C	21709_C	54162_C	8129_C	41224_C	123_C	893_C	18746_C	41228_C	43224_C	307_C	C72k	102264_C	43240_C	70995_C	70996_C	15680_C	70997_C	115_C	71031_C	436491_C	14603_C	834_C	21931_C	C50f	C1al	C1w	849_C	C1j	C3u	42940_C
77289	Rec10_T1	26472	20875	582	20875	582	0	0	0	0	19327	15	0	0	819	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	11.04.2020	0m	9002	3487	2340	0	1644	128	360	577	565	302	0	185	254	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	101	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77242	PociB_T3	23615	18614	530	18614	530	0	0	0	0	17279	15	0	0	924	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	08.05.2017	3-5m	7580	3051	2512	0	1613	154	304	474	463	217	0	168	303	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	109	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77269	Rec5_T1	52690	43406	895	43406	895	0	0	0	0	41021	17	0	0	1832	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	11.04.2018	0m	18618	7691	4966	0	3570	225	862	1115	1191	630	0	453	331	0	0	0	333	250	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	184	186	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77274	Rec6_T2	26455	21174	525	21174	525	0	0	0	0	20165	17	0	0	932	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	17.04.2018	0m	9067	3888	2306	0	1762	107	449	590	645	276	0	191	145	0	0	0	175	101	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	123	109	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77248	PociD_T3	34938	27999	690	27999	690	0	0	0	0	26020	16	0	0	1346	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	08.05.2017	3-5m	11125	4702	3737	0	2438	184	496	750	793	356	0	240	378	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	140	123	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77238	PociA_T2	54227	44330	1035	44330	1035	0	0	0	0	41462	16	0	0	2442	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	17.04.2017	3-5m	17825	7103	5729	0	4285	345	828	1141	1212	618	0	405	684	0	0	0	357	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	198	0	0	0	0	0	233	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77253	Rec1_T1	54714	45912	838	45912	838	0	0	0	0	44238	18	0	0	2470	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	11.04.2017	0m	19714	8736	4547	0	3694	255	1049	1318	1379	675	0	470	0	0	0	0	431	542	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	243	232	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77273	Rec6_T1	33044	26973	562	26973	562	0	0	0	0	25900	18	0	0	1530	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	11.04.2018	0m	10795	4775	2848	0	2557	169	633	927	991	385	0	228	0	0	0	0	332	255	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	169	161	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77286	Rec9_T2	45838	37549	745	37549	745	0	0	0	0	35624	18	0	0	2110	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	17.04.2019	0m	15001	6963	3794	0	3028	286	827	1270	1356	489	0	408	0	0	0	0	422	438	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	240	188	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77233	PlatyD_T3	28645	21568	689	21568	689	0	0	0	0	20878	23	0	0	1984	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Platygyra	daedalea	-19.12994800	146.84138200	08.05.2017	3-5m	0	0	0	8113	0	6852	0	0	0	0	863	0	0	880	466	421	0	0	396	320	323	128	193	216	188	164	174	165	183	0	209	131	167	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
