sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodinium_seqs	post_taxa_id_unique_symbiodinium_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodinium_seqs	post_taxa_id_unique_non_symbiodinium_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	61701_A	A2b	71004_A	71008_A	C1d	C1bl	C42.2	C1	C1b	C3cg	C1bm	C1k	71003_C	114_C	C1bi	70997_C	C3	70995_C	C115k	70996_C	C45c	110_C	C1au	C1j	118_C	21931_C	70999_C	33500_C	71001_C	71000_C	71002_C	307_C	43224_C	123_C	322_C	115_C	196_C	21709_C	657_C	95_C	126_C	71005_C	71006_C	71009_C	317_C	316_C	D5
77156	AdM1ez	36058	31523	704	31523	704	0	0	0	0	29260	17	0	0	1445	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	02.04.2017	acquarium	0	0	0	0	13397	5269	3505	2345	857	807	0	560	643	318	349	0	177	0	233	0	152	199	164	0	153	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77194	LarO3az	23350	20237	481	20237	481	0	0	0	0	19517	15	0	0	1194	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	02.04.2017	acquarium	0	0	0	0	14341	0	1193	1510	199	370	0	0	0	222	0	242	135	294	131	291	182	0	130	132	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77171	AdO3az	42353	37801	653	37801	653	0	0	0	0	36204	15	0	0	2492	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	02.04.2017	acquarium	0	0	0	0	26088	0	2578	2963	420	637	0	0	0	647	0	440	333	524	197	464	260	0	0	236	166	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77210	RecO1cz	31783	28355	527	28355	527	0	0	0	0	27122	16	0	0	1719	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.04.2017	acquarium	0	0	0	0	18988	0	1890	2345	428	633	0	0	0	302	0	310	229	404	212	327	255	0	210	213	172	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77196	LarO3cz	30742	27089	539	27089	539	0	0	0	0	26255	16	0	0	1776	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	02.04.2017	acquarium	0	0	0	0	18756	0	1612	2118	539	532	0	0	0	366	0	355	208	383	148	326	239	0	169	158	129	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77221	RecO3dz	33770	30344	504	30344	504	0	0	0	0	29276	17	0	0	1956	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.04.2017	acquarium	0	0	0	0	20393	0	2229	2646	358	621	0	0	0	341	0	340	227	402	197	331	244	0	206	199	176	196	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77189	LarO1ez	26935	23867	480	23867	480	0	0	0	0	22890	16	0	0	1535	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	02.04.2017	acquarium	0	0	0	0	15746	0	1826	1962	515	471	0	0	0	319	0	287	171	326	148	308	195	0	152	169	122	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77186	LarO1bz	37837	33686	598	33686	598	0	0	0	0	32121	16	0	0	2281	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	02.04.2017	acquarium	0	0	0	0	22946	0	2324	2494	383	597	0	0	0	552	0	435	299	480	187	401	208	0	177	225	164	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77220	RecO3cz	37805	33960	552	33960	552	0	0	0	0	32615	17	0	0	2287	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.04.2017	acquarium	0	0	0	0	22481	0	2348	2957	455	771	0	0	0	389	0	332	282	475	252	397	293	0	215	274	212	256	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77212	RecO1ez	34845	31057	538	31057	538	0	0	0	0	29784	17	0	0	2028	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.04.2017	acquarium	0	0	0	0	20174	0	2276	2808	474	662	0	0	0	320	0	277	266	371	259	399	333	0	211	293	215	210	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77164	AdO1cz	46593	42056	622	42056	622	0	0	0	0	40010	16	0	0	2652	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	02.04.2017	acquarium	0	0	0	0	25136	0	3936	4234	1226	1021	0	0	0	720	0	379	435	518	330	466	349	0	270	421	300	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77208	RecO1az	34625	30737	554	30737	554	0	0	0	0	29407	17	0	0	2066	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.04.2017	acquarium	0	0	0	0	20112	0	2330	2564	438	692	0	0	0	364	0	301	268	393	190	394	261	0	221	265	193	228	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77172	AdO3bz	41592	37295	658	37295	658	0	0	0	0	35618	17	0	0	2683	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	02.04.2017	acquarium	0	0	0	0	25428	0	2486	2797	397	680	0	0	0	618	0	434	291	496	213	496	193	0	217	233	194	287	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0
