sample_name,name,value,index,host_genus_meta,host_species_meta,published,sample_name_index
OMc_049,C39-C39q-C39b-C1-C39p,1771.0,1000.pdf,NA,NA,y,OMc_049-1000.pdf
OMe_026,C39-C39q-C39b-C1-C39p,797.0,1000.pdf,NA,NA,y,OMe_026-1000.pdf
OMc_026,C39-C39q-C39b-C1-C39p,552.0,1000.pdf,NA,NA,y,OMc_026-1000.pdf
ADe_012,C39-C39q-C39b-C1-C39p,817.0,1000.pdf,NA,NA,y,ADe_012-1000.pdf
OMc_079,C39-C39q-C39b-C1-C39p,1058.0,1000.pdf,NA,NA,y,OMc_079-1000.pdf
OMb_088,C39-C39q-C39b-C1-C39p,1444.0,1000.pdf,NA,NA,y,OMb_088-1000.pdf
OMb_036,C39-C39q-C39b-C1-C39p,1162.0,1000.pdf,NA,NA,y,OMb_036-1000.pdf
OMc_074,C39-C39q-C39b-C1-C39p,842.0,1000.pdf,NA,NA,y,OMc_074-1000.pdf
OMb_099,C39-C39q-C39b-C1-C39p,1497.0,1000.pdf,NA,NA,y,OMb_099-1000.pdf
ADe_011,C39-C39q-C39b-C1-C39p,1572.0,1000.pdf,NA,NA,y,ADe_011-1000.pdf
ADe_011,D1/D4/D4c,292.0,1000.pdf,NA,NA,y,ADe_011-1000.pdf
AGc_128,C3/C3gulf-C115d,65800.0,1000.pdf,NA,NA,y,AGc_128-1000.pdf
AGc_128,D1/D4-D4c-D6,213.0,1000.pdf,NA,NA,y,AGc_128-1000.pdf
AGc_139,C3/C3gulf-C115d,52780.0,1000.pdf,NA,NA,y,AGc_139-1000.pdf
AGb_106,C3/C3gulf-C115d,56902.0,1000.pdf,NA,NA,y,AGb_106-1000.pdf
AGb_106,D1/D4/D6/D17-D2.2-D2,202.0,1000.pdf,NA,NA,y,AGb_106-1000.pdf
ADd_003,C3/C3gulf-C115d,1800.0,1000.pdf,NA,NA,y,ADd_003-1000.pdf
ADb_016,C3/C3gulf-C115d,1272.0,1000.pdf,NA,NA,y,ADb_016-1000.pdf
ADa_024,C3/C3gulf-C115d,1137.0,1000.pdf,NA,NA,y,ADa_024-1000.pdf
AGa_008,C3/C3gulf-C115d,37119.0,1000.pdf,NA,NA,y,AGa_008-1000.pdf
ADa_025,C3/C3gulf-C115d,1821.0,1000.pdf,NA,NA,y,ADa_025-1000.pdf
KAb_047,C3/C3gulf-C115d,6017.0,1000.pdf,NA,NA,y,KAb_047-1000.pdf
AGc_129,C3/C3gulf-C115d,50075.0,1000.pdf,NA,NA,y,AGc_129-1000.pdf
AGc_129,D1-D17-D4-D6-D2.2-D2-D17b,7262.0,1000.pdf,NA,NA,y,AGc_129-1000.pdf
ADa_004,C3/C3gulf-C115d,1026.0,1000.pdf,NA,NA,y,ADa_004-1000.pdf
ADa_037,C3/C3gulf-C115d,1800.0,1000.pdf,NA,NA,y,ADa_037-1000.pdf
AGc_151,C3/C3gulf-C115d,47296.0,1000.pdf,NA,NA,y,AGc_151-1000.pdf
AGc_151,D4/D1/D6/D5-D2.2-D17-D2,1455.0,1000.pdf,NA,NA,y,AGc_151-1000.pdf
ADa_048,C3/C3gulf-C115d,1061.0,1000.pdf,NA,NA,y,ADa_048-1000.pdf
AGc_142,C3/C3gulf-C115d,33442.0,1000.pdf,NA,NA,y,AGc_142-1000.pdf
AGc_142,D1/D4/D6/D17-D2.2-D2,3307.0,1000.pdf,NA,NA,y,AGc_142-1000.pdf
