ITS2 type profile		C17d/C31-C21-C21ac-C17e-C17f-C31.9	C31/C17d-C21-C31a-C21ac-C31.9-C17e	C31/C17d-C31.1-C21-C31a-C31f-C17e-C21ac-C31j	C17d/C31-C21-C17e-C21ac-C17f-C17g	C31/C17d-C21-C21ac-C31.9	C31/C17d-C21-C31.9-C21ac-C17e-C31h-C17f-C31i	C31/C17d-C21-C21ac-C17e	C17d/C31-C21-C21ac-C17f	C31-C17d-C31.1-C31a-C21-C31f-C31b-C17e	C31/C17d-C21-C21ac-C31.9-C31k	C31/C17d-C21-C21ac-C31k-C17e	C3/C1	C31/C17d-C21-C21ac-C31a-C31.9-C17f	C31-C17d-C31a-C21-C21ac-C31g-C31.9	C31-C17d-C21-C31.1-C21ac-C31f-C31a-C31j	C31/C17d/C21-C31.9-C31.5-C31a-C21ac	C31/C17d-C21-C31a-C21ac	C31-C17d-C31.1-C21-C31a-C31f-C17e-C21ac	C31/C17d-C21-C21ac	C31-C17d-C31.1-C31a-C21-C17e-C21ac	C31/C17d/C15-C21-C21ac-C17e	C31/C17d-C21	C31/C17d-C31.1	C31/C17d-C21-C21ap-C21ac	C15/C1	D4/D1/D6-D1ab-D3h	D1/D4/D1ab/D6	D1/D4/D6	D1/D4-D6-D1ab-D17d-D1r-D17e-D17c	D1/D4-D6-D1ab-D3h-D4d	
123837	Clo2017_ID343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6037	0	0	0	0	
123849	Clo2017_ID354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4118	0	0	0	0	
124403	Clo2019_ID374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1684	0	0	0	0	
123790	Clo2017_ID298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3067	0	0	0	0	
124526	Clo2019_ID498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1095	0	0	0	0	
123650	Clo2017_ID160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4054	0	0	0	0	
123618	Clo2017_ID124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2884	0	0	0	0	
123956	Clo2017_ID452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2182	0	0	0	0	
123635	Clo2017_ID146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3775	0	0	0	0	
124208	Clo2019_ID152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	
123858	Clo2017_ID362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	0	0	0	0	
124448	Clo2019_ID425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6103	0	0	0	0	
123800	Clo2017_ID307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6393	0	0	0	0	
124228	Clo2019_ID176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	904	0	0	0	0	
123647	Clo2017_ID158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3272	0	0	0	0	
124581	Clo2019_ID54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2143	0	0	0	0	
124660	Clo2019_ID93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	526	0	0	0	0	
123938	Clo2017_ID435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3510	0	0	0	0	
123945	Clo2017_ID441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1380	0	0	0	0	
123641	Clo2017_ID152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1976	0	0	0	0	
123654	Clo2017_ID164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2494	0	0	0	0	
123906	Clo2017_ID406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3446	0	0	0	0	
124376	Clo2019_ID346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1502	0	0	0	0	
124199	Clo2019_ID144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1831	0	0	0	0	
123625	Clo2017_ID130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2334	0	0	0	0	
124212	Clo2019_ID156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	583	0	0	0	0	
124219	Clo2019_ID162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	0	0	0	0	
124269	Clo2019_ID216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0	0	0	0	
124373	Clo2019_ID343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9325	0	0	0	0	
123730	Clo2017_ID232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1765	0	0	0	0	
124433	Clo2019_ID409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432	0	0	0	0	
123981	Clo2017_ID477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6575	0	0	0	0	
124216	Clo2019_ID15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1652	0	0	0	0	
123616	Clo2017_ID122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3510	0	0	0	0	
123779	Clo2017_ID288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3223	0	0	0	0	
124389	Clo2019_ID360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6004	0	0	0	0	
123627	Clo2017_ID133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1128	0	0	0	0	
124201	Clo2019_ID146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1150	0	0	0	0	
123751	Clo2017_ID253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2139	0	0	0	0	
123975	Clo2017_ID470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6588	0	0	0	0	
124325	Clo2019_ID288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	640	0	0	0	0	
123774	Clo2017_ID283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2054	0	0	0	0	
123914	Clo2017_ID413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	571	0	0	0	0	
123705	Clo2017_ID20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1434	0	0	0	0	
124197	Clo2019_ID142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1299	0	0	0	0	
124480	Clo2019_ID454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	
124361	Clo2019_ID330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8072	0	0	0	0	
123904	Clo2017_ID404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3378	0	0	0	0	
123961	Clo2017_ID457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2818	0	0	0	0	
124306	Clo2019_ID253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4109	0	0	0	0	
124520	Clo2019_ID491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2095	0	0	0	0	
124309	Clo2019_ID256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10104	0	0	0	0	
